"activity_id","enrollment_id","jenis_aktivitas","nilai","durasi_menit","tanggal_rapih","student_id","course_id","instructor_id"
"A001292","E00001","QUIZ","81","125","2025-02-03 00:00:00","S128","C043","I030"
"A001923","E00001","DISCUSSION","99","79","2025-02-03 00:00:00","S128","C043","I030"
"A007129","E00001","DISCUSSION","80","88","2025-02-03 00:00:00","S128","C043","I030"
"A008241","E00002","VIDEO WATCH","61","236","2025-02-28 00:00:00","S420","C017","I016"
"A007310","E00003","QUIZ","49","166","2025-05-07 00:00:00","S150","C022","I025"
"A008380","E00003","EXAM","57","194","2025-05-07 00:00:00","S150","C022","I025"
"A006146","E00004","ASSIGNMENT","70","180","2025-06-25 00:00:00","S473","C054","I034"
"A008165","E00004","QUIZ","97","192","2025-06-25 00:00:00","S473","C054","I034"
"A004517","E00005","DISCUSSION","97","231","2025-04-06 00:00:00","S370","C002","I009"
"A004999","E00005","EXAM","57","103","2025-04-06 00:00:00","S370","C002","I009"
"A005223","E00005","DISCUSSION","97","30","2025-04-06 00:00:00","S370","C002","I009"
"A008519","E00005","EXAM","94","225","2025-04-06 00:00:00","S370","C002","I009"
"A003802","E00006","ASSIGNMENT","99","239","2025-03-29 00:00:00","S117","C059","I001"
"A001229","E00007","QUIZ","92","204","2025-04-18 00:00:00","S201","C010","I013"
"A001348","E00007","EXAM","100","237","2025-04-18 00:00:00","S201","C010","I013"
"A007100","E00007","VIDEO WATCH","45","89","2025-04-18 00:00:00","S201","C010","I013"
"A008593","E00007","VIDEO WATCH","41","113","2025-04-18 00:00:00","S201","C010","I013"
"A008175","E00008","EXAM","89","60","2025-05-24 00:00:00","S445","C047","I014"
"A008238","E00008","QUIZ","58","28","2025-05-24 00:00:00","S445","C047","I014"
"A004694","E00009","VIDEO WATCH","46","115","2025-01-25 00:00:00","S355","C047","I013"
"A004777","E00009","DISCUSSION","99","71","2025-01-25 00:00:00","S355","C047","I013"
"A005661","E00009","DISCUSSION","95","188","2025-01-25 00:00:00","S355","C047","I013"
"A007299","E00009","QUIZ","73","70","2025-01-25 00:00:00","S355","C047","I013"
"A008250","E00009","EXAM","80","67","2025-01-25 00:00:00","S355","C047","I013"
"A004784","E00010","EXAM","76","79","2025-02-22 00:00:00","S080","C055","I029"
"A006111","E00011","DISCUSSION","86","53","2025-03-30 00:00:00","S307","C041","I030"
"A008425","E00011","VIDEO WATCH","71","98","2025-03-30 00:00:00","S307","C041","I030"
"A000907","E00012","QUIZ","88","206","2025-01-22 00:00:00","S450","C006","I008"
"A004816","E00012","ASSIGNMENT","75","205","2025-01-22 00:00:00","S450","C006","I008"
"A007822","E00012","DISCUSSION","95","119","2025-01-22 00:00:00","S450","C006","I008"
"A008007","E00012","QUIZ","76","22","2025-01-22 00:00:00","S450","C006","I008"
"A000809","E00013","ASSIGNMENT","80","108","2025-01-30 00:00:00","S396","C040","I019"
