enrollment_id,tanggal_daftar,student_id,course_id,instructor_id
E00001,Feb 03 2025,S128,C043,I030
E00002,Feb 28 2025,S420,C017,I016
E00003,07/05/2025,S150,C022,I025
E00004,Jun 25 2025,S473,C054,I034
E00005,Apr 06 2025,S370,C002,I009
E00006,Mar 29 2025,S117,C059,I001
E00007,18/04/2025,S201,C010,I013
E00008,May 24 2025,S445,C047,I014
E00009,25/01/2025,S355,C047,I013
E00010,22/02/2025,S080,C055,I029
E00011,2025-03-30,S307,C041,I030
E00012,Jan 22 2025,S450,C006,I008
E00013,2025-01-30,S396,C040,I019
E00013,30/01/2025,S026,C019,I039
E00014,27/02/2025,S159,C036,I004
E00015,Jun 20 2025,S331,C042,I036
E00016,2025-02-25,S430,C014,I011
E00017,31/01/2025,S401,C040,I002
E00018,2025-01-02,S334,C020,I004
E00019,18/06/2025,S343,C048,I040
E00020,Feb 05 2025,S281,C023,I022
E00021,2025-04-12,S176,C001,I030
E00022,10/01/2025,S265,C016,I035
E00023,02/05/2025,S466,C006,I021
E00024,05/03/2025,S380,C025,I024
E00025,Apr 15 2025,S094,C058,I002
E00026,2025-06-10,S378,C001,I033
E00027,19/04/2025,S049,C059,I034
E00028,2025-05-04,S127,C027,I023
E00029,Feb 17 2025,S207,C057,I030
E00030,2025-03-19,S114,C016,I014
E00031,Jan 30 2025,S394,C022,I006
E00031,Jan 30 2025,S070,C056,I016
E00032,Jan 22 2025,S062,C020,I019
E00032,2025-01-22,S230,C002,I039
E00033,2025-03-29,S429,C011,I027
E00034,May 09 2025,S033,C020,I016
E00035,Apr 20 2025,S174,C035,I003
E00036,Feb 07 2025,S131,C034,I024
E00037,Apr 09 2025,S417,C005,I003
E00038,2025-02-04,S130,C036,I008
E00039,Jun 12 2025,S119,C024,I004
E00040,Jun 15 2025,S056,C047,I037
E00041,12/02/2025,S126,C019,I029
E00042,2025-03-30,S343,C060,I026
E00043,Apr 28 2025,S467,C045,I019
E00044,May 02 2025,S471,C052,I019
E00045,Jun 20 2025,S137,C009,I004
E00046,25/05/2025,S491,C003,I007
E00047,19/04/2025,S185,C039,I010
E00048,2025-03-04,S220,C058,I006
E00049,26/06/2025,S069,C056,I031
E00050,Jan 14 2025,S176,C042,I009
E00051,2025-02-08,S363,C010,I014
E00051,08/02/2025,S033,C045,I035
E00052,Jan 31 2025,S205,C002,I040
E00053,18/06/2025,S245,C011,I031
E00054,26/05/2025,S210,C004,I036
E00055,2025-04-09,S197,C040,I036
E00056,May 02 2025,S248,C010,I017
